stt,H,W
0,100.00,4.80
1,100.01,4.81
2,100.02,4.83
3,100.03,4.84
4,100.04,4.86
5,100.05,4.87
6,100.06,4.89
7,100.07,4.90
8,100.08,4.92
9,100.09,4.93
10,100.10,4.95
11,100.11,4.96
12,100.12,4.98
13,100.13,4.99
14,100.14,5.01
15,100.15,5.02
16,100.16,5.04
17,100.17,5.05
18,100.18,5.07
19,100.19,5.08
20,100.20,5.10
21,100.21,5.11
22,100.22,5.13
23,100.23,5.14
24,100.24,5.16
25,100.25,5.17
26,100.26,5.19
27,100.27,5.20
28,100.28,5.22
29,100.29,5.23
30,100.30,5.25
31,100.31,5.26
32,100.32,5.28
33,100.33,5.29
34,100.34,5.31
35,100.35,5.32
36,100.36,5.34
37,100.37,5.35
38,100.38,5.37
39,100.39,5.38
40,100.40,5.40
41,100.41,5.41
42,100.42,5.43
43,100.43,5.44
44,100.44,5.46
45,100.45,5.47
46,100.46,5.49
47,100.47,5.50
48,100.48,5.52
49,100.49,5.53
50,100.50,5.55
51,100.51,5.56
52,100.52,5.58
53,100.53,5.59
54,100.54,5.61
55,100.55,5.62
56,100.56,5.64
57,100.57,5.65
58,100.58,5.67
59,100.59,5.68
60,100.60,5.70
61,100.61,5.71
62,100.62,5.73
63,100.63,5.74
64,100.64,5.75
65,100.65,5.77
66,100.66,5.78
67,100.67,5.80
68,100.68,5.81
69,100.69,5.83
70,100.70,5.84
71,100.71,5.86
72,100.72,5.87
73,100.73,5.89
74,100.74,5.90
75,100.75,5.92
76,100.76,5.93
77,100.77,5.95
78,100.78,5.96
79,100.79,5.98
80,100.80,5.99
81,100.81,6.01
82,100.82,6.02
83,100.83,6.04
84,100.84,6.05
85,100.85,6.07
86,100.86,6.08
87,100.87,6.10
88,100.88,6.11
89,100.89,6.13
90,100.90,6.14
91,100.91,6.16
92,100.92,6.17
93,100.93,6.19
94,100.94,6.20
95,100.95,6.22
96,100.96,6.23
97,100.97,6.25
98,100.98,6.26
99,100.99,6.28
100,101.00,6.29
101,101.01,6.31
102,101.02,6.32
103,101.03,6.34
104,101.04,6.35
105,101.05,6.37
106,101.06,6.38
107,101.07,6.40
108,101.08,6.41
109,101.09,6.43
110,101.10,6.44
111,101.11,6.46
112,101.12,6.47
113,101.13,6.49
114,101.14,6.50
115,101.15,6.52
116,101.16,6.53
117,101.17,6.55
118,101.18,6.56
119,101.19,6.58
120,101.20,6.59
121,101.21,6.61
122,101.22,6.62
123,101.23,6.64
124,101.24,6.65
125,101.25,6.67
126,101.26,6.68
127,101.27,6.69
128,101.28,6.71
129,101.29,6.72
130,101.30,6.74
131,101.31,6.75
132,101.32,6.77
133,101.33,6.78
134,101.34,6.80
135,101.35,6.81
136,101.36,6.83
137,101.37,6.84
138,101.38,6.86
139,101.39,6.87
140,101.40,6.89
141,101.41,6.90
142,101.42,6.92
143,101.43,6.93
144,101.44,6.95
145,101.45,6.96
146,101.46,6.98
147,101.47,6.99
148,101.48,7.01
149,101.49,7.02
150,101.50,7.04
151,101.51,7.05
152,101.52,7.07
153,101.53,7.08
154,101.54,7.10
155,101.55,7.11
156,101.56,7.13
157,101.57,7.14
158,101.58,7.16
159,101.59,7.17
160,101.60,7.19
161,101.61,7.20
162,101.62,7.22
163,101.63,7.23
164,101.64,7.25
165,101.65,7.26
166,101.66,7.28
167,101.67,7.29
168,101.68,7.31
169,101.69,7.32
170,101.70,7.34
171,101.71,7.35
172,101.72,7.37
173,101.73,7.38
174,101.74,7.40
175,101.75,7.41
176,101.76,7.43
177,101.77,7.44
178,101.78,7.46
179,101.79,7.47
180,101.80,7.49
181,101.81,7.50
182,101.82,7.52
183,101.83,7.53
184,101.84,7.55
185,101.85,7.56
186,101.86,7.58
187,101.87,7.59
188,101.88,7.60
189,101.89,7.62
190,101.90,7.63
191,101.91,7.65
192,101.92,7.66
193,101.93,7.68
194,101.94,7.69
195,101.95,7.71
196,101.96,7.72
197,101.97,7.74
198,101.98,7.75
199,101.99,7.77
200,102.00,7.78
201,102.01,7.80
202,102.02,7.81
203,102.03,7.83
204,102.04,7.84
205,102.05,7.86
206,102.06,7.87
207,102.07,7.89
208,102.08,7.90
209,102.09,7.92
210,102.10,7.93
211,102.11,7.95
212,102.12,7.96
213,102.13,7.98
214,102.14,7.99
215,102.15,8.01
216,102.16,8.02
217,102.17,8.04
218,102.18,8.05
219,102.19,8.07
